NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA,Date,Rate
Fordham,The Bronx,3244,"130, 145, 160",Yes,2020-12-31,18151979,130376,565.25,Interior,M1-1,M3-1,,,,,,197014,168,2020-12-31,0.25
Mott Haven,The Bronx,2350,"1, 5",Yes,2020-12-31,23780000,24453,228.82,Corner,M1-4/R8A  ,,,,MX-13,VIH,5.4,132046,180,2020-12-31,0.25
Williamsburg,Brooklyn,3056,168,No,2020-12-31,33000000,48785,170.06,Corner ,M3-1,,,,,,2.0,97570,186,2020-12-31,0.25
Midwood,Brooklyn,7648,9,No,2020-12-28,2500000,7350,70.0,Interior,R4 ,,C2-2,,,,1.0,7350,340,2020-12-28,0.25
Bath Beach,Brooklyn,6413,1,No,2020-12-23,4900000,9532,101.75,Corner ,R5  ,,C1-2,,,,1.25,12236,400,2020-12-23,0.25
Melrose,The Bronx,2374,"40, 41",Yes,2020-12-22,6000000,8558,75.0,Interior,C4-4,,,,,,3.44,29440,54,2020-12-22,0.25
Norwood,The Bronx,3331,57,No,2020-12-22,12790000,15000,125.0,Interior,R7D ,,C2-4,,,VIH,4.2,63000,95,2020-12-22,0.25
Highbridge,The Bronx,2857,1,No,2020-12-22,4250000,15986,106.71,Corner,R8A ,,C2-4,,J,MIH,7.2,115099,111,2020-12-22,0.25
Red Hook,Brooklyn,"495, 493, 491, 489",1,Yes,2020-12-22,45000000,168525,700.25,Interior,M3-1,,,,,,2.0,337050,134,2020-12-22,0.25
Greenwood Heights,Brooklyn,897,35,No,2020-12-22,1600000,2516,25.17,Corner,R6B,,,,,,2.0,5032,293,2020-12-22,0.25
Greenwich Village,Manhattan,562,28,No,2020-12-22,1475000,2083,25.02,Interior,C6-1,,,,,,6.0,12498,340,2020-12-22,0.25
Financial District,Manhattan,31,10,No,2020-12-18,5700000,1867,25.81,Interior,C5-5  ,,,,LM,,15.0,28005,204,2020-12-18,0.25
Bedford Park,The Bronx,3308,"59, 92",Yes,2020-12-17,10806880,40200,402.0,Through,R8,,,,,,6.02,240867,69,2020-12-17,0.25
Williamsbridge,The Bronx,4657,"42, 71",Yes,2020-12-17,16502357,35006,350.03,Through,R7A,,,,,,4.0,139533,77,2020-12-17,0.25
Gravesend,Brooklyn,7205,76,No,2020-12-14,1497500,9556,42.9,Interior,M1-1 ,R5,,,,,,10269,146,2020-12-14,0.25
Inwood,Manhattan,2175,98,No,2020-12-11,6600000,10000,100.0,Interior,R7-2  ,,C2-4,,,,4.0,40000,165,2020-12-11,0.25
Norwood,The Bronx,3357,55,No,2020-12-10,2800000,8494,100.02,Interior,R7D ,,C2-4,,,VIH,4.2,35675,78,2020-12-10,0.25
Eastchester,The Bronx,5655,"313, 314",Yes,2020-11-25,4800000,138529,81.05,Interior,M3-1,,,,,,2.0,277058,29,2020-11-25,0.25
Morris Park,The Bronx,4223,26,No,2020-11-25,6500000,21104,41.95,Interior,R6A ,M1-1 ,,,,,,43052,111,2020-11-25,0.25
Tremont,The Bronx,3093,"51, 53",Yes,2020-11-25,8138995,15405,123.8,Interior,C4-4A,,,,,VIH,3.45,53147,122,2020-11-25,0.25
Sunset Park,Brooklyn,815,35,No,2020-11-24,4250000,6010,60.0,Interior,R6B,,,,,,2.0,12020,116,2020-11-24,0.25
Ocean Hill,Brooklyn,1555,19,No,2020-11-24,1400000,4900,49.0,Corner,M1-2,,,,,,2.0,9800,133,2020-11-24,0.25
Bushwick,Brooklyn,3217,34,No,2020-11-24,1300000,3688,73.26,Corner,R6,,,,,,2.2,23320,182,2020-11-24,0.25
East New York,Brooklyn,4017,"15, 19",Yes,2020-11-23,4900000,10761,97.83,Corner,R7A ,,C2-4,,EC-5,MIH,4.6,49501,99,2020-11-23,0.25
Bedford-Stuyvesant,Brooklyn,1911,"22, 23",Yes,2020-11-23,2453105,3743,50.0,Corner,R7A ,,C2-4,,,VIH,3.45,12913,190,2020-11-23,0.25
Downtown Brooklyn,Brooklyn,118,1,No,2020-11-05,12500000,4904,49.99,Corner,C6-2,,,,,,7.2,37549,333,2020-11-05,0.25
Ocean Hill,Brooklyn,1477,1,No,2020-11-04,13000000,44349,80.0,Corner,C8-2,,,,,,2.0,88673,147,2020-11-04,0.25
Central Harlem,Manhattan,2040,28,No,2020-11-04,13000000,39964,49.92,Corner,C8-3,,,,,,2.0,79928,163,2020-11-04,0.25
Old Astoria,Queens,909,9,No,2020-11-02,29600000,37565,100.08,Interior,R6 ,R6B,,,,,,121845,139,2020-11-02,0.25
Carnegie Hill,Manhattan,1514,59,No,2020-11-02,16900000,5219,51.03,Interior,C5-1A,,,,,,10.0,77326,383,2020-11-02,0.25
Highbridge,The Bronx,2506,54,No,2020-10-30,6100000,10350,144.4,Interior,R9A ,,C2-4,,J,MIH,8.5,87975,69,2020-10-30,0.25
Bushwick,Brooklyn,"3393, 3400","35, 36, 63, 68",Yes,2020-10-30,1600000,19528,190.0,Interior,R6,,,,,,2.2,42962,234,2020-10-30,0.25
Sheepshead Bay,Brooklyn,7378,30,No,2020-10-30,10035000,3226,43.49,Interior,C8-1,,,,,,1.0,3226,496,2020-10-30,0.25
Inwood,Manhattan,2243,255,No,2020-10-29,3375000,7500,75.0,Interior,R7D  ,,C2-4,,IN,MIH,5.6,42000,80,2020-10-29,0.25
Williamsburg,Brooklyn,3056,"183, 184, 185, 186, 187, 188",Yes,2020-10-29,20000000,40010,296.48,Corner,M3-1,,,,,,2.0,80020,250,2020-10-29,0.25
Port Morris,The Bronx,2309,"20, 21",Yes,2020-10-28,2050000,5000,50.0,Interior,M1-2/R6A  ,,,,MX-1 ,,3.0,15000,137,2020-10-28,0.25
Columbia Street Waterfront District,Brooklyn,299,11,No,2020-10-27,4000000,4301,49.58,Interior,R6A,,,,,,3.0,12903,310,2020-10-27,0.25
Bushwick,Brooklyn,3184,38,No,2020-10-26,1000000,2500,25.0,Interior,R6,,C1-3,,,,2.2,5500,182,2020-10-26,0.25
Foxhurst,The Bronx,2975,1,No,2020-10-22,2119000,13848,50.5,Corner,R7-1 ,,,,,,3.44,55402,38,2020-10-22,0.25
Williamsburg,Brooklyn,2325,32,Yes,2020-10-22,4300000,2500,25.0,Corner,M1-2/R6A ,,,,MX-8,VIH,2.7,6750,637,2020-10-22,0.25
Mott Haven,The Bronx,2293,42,No,2020-10-21,1550000,3098,27.0,Interior,C4-4 ,,,,,,4.0,12392,125,2020-10-21,0.25
Hunts Point,The Bronx,2741,42,No,2020-10-16,1650000,7600,45.0,Interior,M1-2 ,,,,HP,,2.0,15200,109,2020-10-16,0.25
Foxhurst,The Bronx,2718,"48, 50",Yes,2020-10-15,1020000,12766,100.0,Interior,R7-1 ,,,,,,3.44,43915,73,2020-10-15,0.25
Williamsburg,Brooklyn,2247,5,No,2020-10-15,9150000,1507,22.6,Through,R6 ,,C2-3,,,,3.0,4521,226,2020-10-15,0.25
Long Island City,Queens,371,38,No,2020-10-15,3199999,10600,159.45,Corner,M1-2/R6A  ,,,,LIC,,3.0,31800,288,2020-10-15,0.25
Park Slope,Brooklyn,1024,65,No,2020-10-13,2850000,4367,18.67,Interior,R6B,,,,,,2.0,8734,326,2020-10-13,0.25
East New York,Brooklyn,4562,27,No,2020-10-07,5600000,22000,110.0,Corner,M1-1,,,,,,1.0,22000,255,2020-10-07,0.25
Westchester Village,The Bronx,3838,"260, 311",Yes,2020-09-30,13500000,118800,160.24,Interior,M3-1,,,,,,2.0,237600,57,2020-09-30,0.25
Parkchester,The Bronx,3932,163,Yes,2020-09-29,9045000,8748,41.72,Interior,R6,,,,,,2.2,19246,70,2020-09-29,0.25
Fordham,The Bronx,3187,"5, 7",Yes,2020-09-29,1350000,10000,100.0,Interior,R7A  ,,C2-4,,J,MIH,4.6,46000,197,2020-09-29,0.25
East Harlem,Manhattan,1789,9,No,2020-09-24,1004000,8376,83.0,Through,C4-4D  ,,,,125TH,VIH,5.4,45230,211,2020-09-24,0.25
Park Slope,Brooklyn,948,49,No,2020-09-24,9550000,1709,22.5,Interior,R6A,R6B,C1-3,,,,,4750,211,2020-09-24,0.25
Morrisania,The Bronx,2386,"29, 30, 34, 65, 66, 136, 164",Yes,2020-09-16,14000000,59238,325.06,Through,M1-1 ,M1-1/R7-2,,,MX-7,,,161461,87,2020-09-16,0.25
Flatbush,Brooklyn,5188,6,No,2020-09-15,3000000,7315,55.0,Through,R7A  ,,C2-4,,,VIH,3.45,25237,119,2020-09-15,0.25
Belmont,The Bronx,3111,59,No,2020-09-10,1500000,6945,81.58,Corner,R7-1,,,,,,4.0,27780,54,2020-09-10,0.25
Briarwood,Queens,9649,"17, 25",Yes,2020-09-10,12950000,30100,565.08,Corner,R6A,,C1-4,,,,3.0,90300,143,2020-09-10,0.25
Mount Eden,The Bronx,2782,8,No,2020-09-09,1650000,6000,60.0,Interior,R7-1,,,,,,3.44,20640,80,2020-09-09,0.25
Highbridge,The Bronx,2523,"59, 61, 174, 175, 176",Yes,2020-09-03,31000000,60622,687.5,Through,R7-1,M1-5,,,,,,283607,109,2020-09-03,0.25
Concourse,The Bronx,2353,1,No,2020-09-02,16900000,31200,358.0,Corner,R7A,,C2-4,,,VIH,3.45,107640,157,2020-09-02,0.25
Port Morris,The Bronx,2599,"61, 62, 69, 87, 175",Yes,2020-08-31,117791000,629169,1129.0,Interior,M3-1,,,,,,2.0,1258338,94,2020-08-31,0.25
Ocean Hill,Brooklyn,1492,20,No,2020-08-31,1380000,2570,26.0,Interior,R6,,,,,,3.0,10022,138,2020-08-31,0.25
Sheepshead Bay,Brooklyn,7421,37,No,2020-08-28,15500000,37578,131.0,Corner,R7A ,R4,C1-2,,,,,131859,118,2020-08-28,0.25
Greenpoint,Brooklyn,2684,15,No,2020-08-27,1750000,2500,25.0,Interior,R6B,,,,,,2.0,5000,350,2020-08-27,0.25
Williamsburg,Brooklyn,2369	,"19, 4",Yes,2020-08-25,23000000,27886,170.0,Corner,M1-2/R6A ,,,,MX-8,VIH,2.7,97915,235,2020-08-25,0.25
Fordham,The Bronx,3317,23,No,2020-08-20,5050000,22000,173.55,Interior,R8,,C2-3,,,,,152904,83,2020-08-20,0.25
Washington Heights,Manhattan,2170,118,No,2020-08-20,8000000,20375,64.0,Interior,R7-2,,,,,,3.44,70090,114,2020-08-20,0.25
Williamsburg,Brooklyn,2989,32,No,2020-08-20,12750000,11925,114.03,Corner,M3-1,,,,,,2.0,23850,212,2020-08-20,0.25
Crown Heights,Brooklyn,1247,23,No,2020-08-17,1145000,2755,19.8,Interior,R6A,,,,,,3.0,8265,139,2020-08-17,0.25
Kingsbridge,The Bronx,5703,206,No,2020-08-14,1500000,9189,32.0,Interior,R6,,,,,,2.2,20216,74,2020-08-14,0.25
Fordham,The Bronx,3173,68,No,2020-08-13,1195000,5863,117.25,Interior,R8,,,,,,6.02,35295,59,2020-08-13,0.25
Mott Haven,The Bronx,2344,1,No,2020-08-13,9000000,16239,81.5,Corner,C6-2A,,,,,VIH,5.4,87691,103,2020-08-13,0.25
Kingsbridge,The Bronx,5714,159,No,2020-08-13,2100000,5019,50.19,Interior,R6,,,,,,2.2,11042,108,2020-08-13,0.25
Bedford-Stuyvesant,Brooklyn,1716,"59, 60, 61",Yes,2020-08-12,5800000,16545,174.0,Corner,M1-2,,,,,,2.0,33090,175,2020-08-12,0.25
East Flatbush,Brooklyn,4588,"81, 79, 76",Yes,2020-08-06,4580000,9720,108.0,Interior,R7-1,,,,,,4.0,38880,118,2020-08-06,0.25
Crown Heights,Brooklyn,1393,51,No,2020-08-04,2350000,6069,50.33,Interior,R6,,,,,,3.0,18207,129,2020-08-04,0.25
Bushwick,Brooklyn,3394,57,No,2020-07-31,2650000,3000,20.0,Interior,R6 ,,C1-3,,,,,8200,146,2020-07-31,0.25
Bedford-Stuyvesant,Brooklyn,1855,4,No,2020-07-31,1200000,3376,48.0,Interior ,R6A /C2-4,,,,,,3.0,10128,262,2020-07-31,0.25
Greenwood Heights,Brooklyn,675,1,No,2020-07-30,11600000,43194,138.0,Corner,M3-1,,,,,,2.0,86388,116,2020-07-30,0.25
Kingsbridge Heights,The Bronx,3267,38,No,2020-07-29,10000000,7047,232.0,Corner,R6,,C2-3,,,,3.0,21141,57,2020-07-29,0.25
Park Slope,Brooklyn,1027,"10, 11",Yes,2020-07-29,1200000,3485,36.66,Interior,R6B,,,,,,2.0,6970,301,2020-07-29,0.25
East Harlem,Manhattan,1796,2,No,2020-07-24,1900000,1875,25.0,Interior,R9A  ,,C2-5,,"EHC, TA",MIH,8.5,13687,139,2020-07-24,0.25
Belmont,The Bronx,3041,42,No,2020-07-23,2200000,3872,35.39,Corner,C4-5X,,,,,,3.75,23567,93,2020-07-23,0.25
Chelsea,Manhattan,716,"54, 56",Yes,2020-07-21,18500000,6900,75.0,Interior,R8 ,R8A,,,,,6.02,41538,445,2020-07-21,0.25
Flatbush,Brooklyn,4853,11,No,2020-07-15,21500000,4040,26.0,Interior,R7-1 ,,C1-3,,,,4.0,15371,89,2020-07-15,0.25
Highbridge,The Bronx,2865,"15, 19",Yes,2020-07-15,54500000,24856,401.46,Interior,R8A,,,,J,MIH,7.2,178963,120,2020-07-15,0.25
East Village,Manhattan,444,"1, 3, 5",Yes,2020-07-15,1375000,14046,162.42,Corner,C6-2A,,,,,VIH,6.0,100568,542,2020-07-15,0.25
Inwood,Manhattan,2198,"1, 5",Yes,2020-07-13,23600000,27741,73.0,Corner,M1-4/R9A ,,,,IN,MIH,8.5,93816,252,2020-07-13,0.25
Greenwood Heights,Brooklyn,630,22,No,2020-07-09,6700000,6935,60.0,Interior,M1-2D,,,,,,1.65,11443,586,2020-07-09,0.25
Hunts Point,The Bronx,2765,"132, 127",Yes,2020-07-07,3880000,15000,150.0,Interior,R6,M1-2,,,HP,,,32700,119,2020-07-07,0.25
Lower East Side,Manhattan,343,"63, 62",Yes,2020-07-01,10500000,5004,24.83,Interior,R8A,,,,,VIH,5.4,27022,389,2020-07-01,0.25
Belmont,The Bronx,3113,6,No,2020-06-30,1300000,6250,50.0,Interior,R7-1 ,,,,,,3.44,21500,60,2020-06-30,0.25
Midtown,Manhattan,1284,14,No,2020-06-27,115000000,7164,75.43,Corner,C5-3 ,,,,MID,,15.0,107500,1070,2020-06-27,0.25
East Harlem,Manhattan,1615,59,No,2020-06-25,4000000,4392,43.92,Corner,R7-2,,C1-5,,,,4.0,17568,228,2020-06-25,0.25
Vinegar Hill,Brooklyn,42,24,No,2020-06-19,20250000,19991,400.42,Corner ,R6B,,,,,,2.0,39982,506,2020-06-19,0.25
Hunts Point,The Bronx,2775,97,No,2020-06-17,26500000,120000,1600.0,Corner,M3-1,,,,,,2.0,240000,110,2020-06-17,0.25
West Farms,The Bronx,2985,64,No,2020-06-11,2900000,9825,105.54,Interior,R7-1,,,,,,3.44,33798,86,2020-06-11,0.25
Greenpoint,Brooklyn,2599,1,No,2020-05-26,1670000,2500,25.0,Interior,R6B,,,,,,2.0,5000,334,2020-05-26,0.25
Carroll Gardens,Brooklyn,534,17,No,2020-05-22,2300000,6050,60.5,Interior,R5,,,,,,1.25,7563,304,2020-05-22,0.25
Kensington,Brooklyn,5302,74,No,2020-05-20,1900000,6000,60.0,Interior,R5,,,,,,1.25,7500,253,2020-05-20,0.25
Highbridge,The Bronx,2526,"50, 52, 76",Yes,2020-05-15,4350000,13125,150.0,Through,R7-1 ,,,,,,3.44,45150,96,2020-05-15,0.25
Bedford-Stuyvesant,Brooklyn,1814,23,No,2020-05-15,4150000,12117,108.46,Interior,R6A  ,,,,,,3.0,36351,305,2020-05-15,0.25
Williamsburg,Brooklyn,2380,20,No,2020-05-15,11100000,2944,118.66,Corner,R6B,,C2-4,,,,2.0,5888,705,2020-05-15,0.25
North Riverdale,The Bronx,5841,1944,No,2020-05-13,4750000,11882,133.27,Interior,R6,R6B,,,,,3.0,35646,133,2020-05-13,0.25
Upper East Side,Manhattan,1557,52,No,2020-04-29,31289811,12550,100.0,Through,C8-4,C2-8,,,TA,,,68443,270,2020-04-29,0.25
East Village,Manhattan,396,29,No,2020-04-29,18500000,10098,114.75,Corner,R7-2  ,,C1-5,C2-5,,,4.0,63932,489,2020-04-29,0.25
Westchester Square,The Bronx,4142,1,No,2020-04-27,2000000,16096,249.0,Interior,M1-1,,,,,,1.0,16096,124,2020-04-27,0.25
Park Slope,Brooklyn,943,240,Yes,2020-04-24,59380000,70000,825.75,Corner,R6A,R6B,C1-4,,,,,175950,335,2020-04-24,0.25
Gowanus,Brooklyn,412,"15, 50, 51",Yes,2020-04-14,22500000,18500,185.0,Through,M1-4/R7X,M1-4/R6A,,,G,MIH,,96600,233,2020-04-14,0.25
Astoria,Queens,844,"65, 10",Yes,2020-04-13,7365000,7285,23.97,Corner,C4-3,R5B,,,,,,19675,374,2020-04-13,0.25
Williamsburg,Brooklyn,2742,"9, 5",Yes,2020-04-01,16500000,9146,198.0,Interior,M1-2/R6,,,,MX-8,VIH,2.7,24694,668,2020-04-01,0.25
Midwood,Brooklyn,6739,57,No,2020-03-25,6700000,7575,50.0,Interior,R6A ,R7A,,,,,,24100,135,2020-03-25,0.25
Lenox Hill,Manhattan,1433,36,No,2020-03-25,3250000,1830,17.92,Interior,R10A,,,,,,10.0,12810,523,2020-03-25,0.25
Wakefield,The Bronx,5069,45,No,2020-03-24,7030000,20201,136.1,Interior,R6,,C2-2,,,,3.0,72018,98,2020-03-24,0.25
DUMBO,Brooklyn,20,1,No,2020-03-23,61500000,18955,251.33,Corner,M1-6/R8X,,,,MX-2 ,VIH,10.0,189550,324,2020-03-23,0.25
Brownsville,Brooklyn,3525,36,No,2020-03-19,1200000,5000,150.0,Corner,R6 ,,C1-3,,,,2.2,11000,109,2020-03-19,0.25
Fordham,The Bronx,3156,"62, 63",Yes,2020-03-13,3882750,15564,120.75,Interior,R8,,,,,,6.02,93695,41,2020-03-13,1.25
Tremont,The Bronx,3143,179,No,2020-03-13,10100000,22300,65.0,Interior,C8-3,R7-1,,,,,2.0,44600,63,2020-03-13,1.25
Cobble Hill,Brooklyn,284,7,No,2020-03-13,2800000,33345,184.0,Corner,R6,,,,,,3.0,84319,120,2020-03-13,1.25
East New York,Brooklyn,3672,"51, 50, 49, 48",Yes,2020-03-12,4250000,7657,171.31,Corner,C4-4D,,,,EC-5 ,MIH,7.2,55130,77,2020-03-12,1.25
Astoria,Queens,567,41,No,2020-03-10,3700000,7501,50.0,Interior,R6B,,,,,,2.0,15002,247,2020-03-10,1.25
Long Island City,Queens,473,564,No,2020-03-06,18200000,70132,720.0,Interior,M1-3,,,,,,5.0,350660,93,2020-03-06,1.25
East Flatbush,Brooklyn,4665,71,No,2020-03-06,3000000,10040,100.42,Interior,R6 ,,C1-3,,,,3.0,30120,100,2020-03-06,1.25
Williamsburg,Brooklyn,2366,32,No,2020-03-06,32500000,14374,200.0,Interior,M1-2/R6A ,,,,MX-8,VIH,2.7,38810,469,2020-03-06,1.25
Inwood,Manhattan,2199,34,No,2020-03-05,3050000,14928,75.0,Interior,M1-4/R7A  ,,,,IN,MIH,4.6,68669,117,2020-03-05,1.25
Flatbush,Brooklyn,5111,46,No,2020-03-05,1500000,5526,51.08,Interior,R6,,,,,,2.2,12157,123,2020-03-05,1.25
Bushwick,Brooklyn,3207,1,No,2020-03-05,1300000,2375,120.0,Corner,R6  ,,C2-3,,,,2.2,5225,249,2020-03-05,1.25
Williamsburg,Brooklyn,2335,3,No,2020-03-05,8000000,2500,25.0,Interior,M1-2/R6A ,,,,MX-8,VIH,2.7,6750,452,2020-03-05,1.25
Fort Greene,Brooklyn,2046,84,No,2020-03-04,10000000,15130,167.54,Corner,R7A,R5B,C2-4,,,VIH,,41119,243,2020-03-04,1.25
Soundview,The Bronx,3627,"35, 36",Yes,2020-03-03,18500000,198537,620.0,Interior,R6,,,,,,,485357,38,2020-03-03,1.25
Bushwick,Brooklyn,3322,1,No,2020-03-02,3600000,5625,150.0,Corner,R6,,,,,,3.0,16875,213,2020-03-02,1.75
Midtown South,Manhattan,841,"12, 13",Yes,2020-02-28,18500000,4126,42.5,Interior,M1-6,,,,,,10.0,41260,448,2020-02-28,1.75
Mott Haven,The Bronx,2330,"73, 70, 69, 66, 16, 17",Yes,2020-02-26,10150000,25625,297.5,Interior ,C4-4 ,,,,,,,109849,92,2020-02-26,1.75
Bedford-Stuyvesant,Brooklyn,1910,27,No,2020-02-26,1500000,1626,22.75,Interior ,R7A ,,C2-4,,,VIH,3.45,5610,267,2020-02-26,1.75
Washington Heights,Manhattan,2180,"62, 63, 64",Yes,2020-02-24,16900000,37081,210.0,Interior,R7-2,,,,,,3.44,146000,116,2020-02-24,1.75
Midtown,Manhattan,1309,69,No,2020-02-18,184000000,8725,75.42,Corner,C5-3  ,,,,MID,,15.0,220000,836,2020-02-18,1.75
Port Morris,The Bronx,2278,70,No,2020-02-13,2150000,12500,125.0,Interior,M1-2/R6A ,,,,MX-1,,3.0,37500,71,2020-02-13,1.75
Prospect Lefferts Gardens,Brooklyn,5036,75,No,2020-02-13,2650000,5000,50.0,Interior,R6,,C2-3,,,,2.2,11000,195,2020-02-13,1.75
Bushwick,Brooklyn,3248,33,No,2020-02-13,2050000,4632,59.89,Interior,R6,,,,,,2.2,10190,201,2020-02-13,1.75
Gramercy Park,Manhattan,923,26,No,2020-02-11,12000000,4140,45.0,Interior,R8A,,,,,,6.02,24923,481,2020-02-11,1.75
Midwood,Brooklyn,6733,"11, 21",Yes,2020-02-11,18130000,33000,417.25,Interior,M1-1,,,,,,1.0,33000,549,2020-02-11,1.75
Hunts Point,The Bronx,2765,"138, 196, 197",Yes,2020-02-10,4250000,12500,225.0,Corner,R6,,,,,,,31500,135,2020-02-10,1.75
Crown Heights,Brooklyn,1280,28,No,2020-02-06,1605000,4198,25.4,Interior,R6,,,,,,2.2,9236,174,2020-02-06,1.75
Midtown,Manhattan,1263,21,No,2020-02-06,9500000,2397,23.83,Interior,C6-4.5 ,,,,MID,,12.0,28764,330,2020-02-06,1.75
Bedford-Stuyvesant,Brooklyn,1864,9,No,2020-02-05,1850000,2000,20.0,Interior ,R7D,,C2-4,,,VIH,4.2,8400,220,2020-02-05,1.75
Gramercy Park,Manhattan,923,"35, 36, 37, 38",Yes,2020-02-05,28500000,7360,92.0,Corner,C1-8A,,,,,,7.52,54765,520,2020-02-05,1.75
Brighton Beach,Brooklyn,8764,4,No,2020-02-04,3300000,11425,229.17,Corner,R6,,,,,,3.0,34275,96,2020-02-04,1.75
Inwood,Manhattan,2237,"18, 16",Yes,2020-02-04,12536482,26615,177.0,Corner,R7A,R7-2,C2-4,,IN,,4.0,106460,118,2020-02-04,1.75
Foxhurst,The Bronx,2744,"23, 24, 25",Yes,2020-02-03,1500000,5250,58.0,Interior,R7-1,,C2-4,,,,4.0,21000,80,2020-02-03,1.75
Greenpoint,Brooklyn,2534,39,No,2020-02-03,1675000,2450,24.5,Interior,M3-1,,,,,,2.0,4900,306,2020-02-03,1.75
Flatbush,Brooklyn,4949,35,No,2020-01-30,1075000,3280,32.0,Interior,R6,,,,,,3.0,9840,109,2020-01-30,1.75
Woodlawn,The Bronx,5034,50,No,2020-01-30,2650000,12389,150.0,Interior,C8-1,,,,,,1.0,12389,214,2020-01-30,1.75
Flatiron District,Manhattan,819,"26, 55",Yes,2020-01-29,17600000,4968,54.0,Through,C6-4A,,,,,,10.0,36266,485,2020-01-29,1.75
Prospect Heights,Brooklyn,4798,28,No,2020-01-24,1133275,3600,40.0,Interior,R6,,,,,,2.2,7920,143,2020-01-24,1.75
South Slope,Brooklyn,891,26,No,2020-01-24,1750400,2404,24.0,Interior,R6B,,,,,,2.0,4808,364,2020-01-24,1.75
Crown Heights,Brooklyn,1246,17,No,2020-01-23,7100000,15660,250.33,Corner,R6A,,,,,,3.0,46980,151,2020-01-23,1.75
Port Morris,The Bronx,2599,62,No,2020-01-21,6250000,16673,350.0,Interior,M3-1,,,,,,2.0,33346,187,2020-01-21,1.75
Concourse Village,The Bronx,2433,36,No,2020-01-17,2500000,9742,197.1,Corner,R7-1,,,,,,3.44,33512,75,2020-01-17,1.75
University Heights,The Bronx,"3244, 3245","1, 3",Yes,2020-01-15,18029375,480318,3243.0,Interior,M1-1,M3-1,,,,,,524118,34,2020-01-15,1.75
Williamsburg,Brooklyn,2386,"4, 7",Yes,2020-01-15,33099990,25000,450.0,Corner,M1-2/R6A ,,,,MX-8,VIH,2.7,67500,490,2020-01-15,1.75
Sunset Park,Brooklyn,754,27,No,2020-01-14,5550000,15226,152.0,Interior,M1-2D,,,,,,2.0,30452,182,2020-01-14,1.75
Gowanus,Brooklyn,1027,55,No,2020-01-14,1470000,2500,25.0,Interior,R6B,,,,,,2.0,5000,294,2020-01-14,1.75
Hunts Point,The Bronx,2766,218,No,2020-01-10,5400000,13937,147.0,Interior,M1-2,,,,HP,,2.0,27874,100,2020-01-10,1.75
East Harlem,Manhattan,1617,34,No,2020-01-10,2800000,3078,30.5,Interior,R9,,C2-5,,,MIH,8.0,13851,166,2020-01-10,1.75
Bushwick,Brooklyn,3218,"1, 5, 59",Yes,2020-01-10,2300000,8950,185.0,Corner,R6  ,,C1-3,,,,2.2,23490,230,2020-01-10,1.75
Bedford-Stuyvesant,Brooklyn,1835,"5, 105",Yes,2020-01-09,1245000,1900,20.0,Interior,R6A,,C2-4,,,,3.0,5700,218,2020-01-09,1.75
Greenpoint,Brooklyn,2533,16,No,2020-01-09,4000000,5000,50.0,Interior,R6B,,,,,,2.0,10000,400,2020-01-09,1.75
Flatbush,Brooklyn,5108,"46, 48, 49",Yes,2020-01-07,3760413,9601,79.08,Interior,R6,,,,,,3.0,28803,131,2020-01-07,1.75
Borough Park,Brooklyn,5620,37,No,2020-01-06,1800000,3597,127.08,Corner ,R6,,,,,,3.0,10791,167,2020-01-06,1.75
Long Island City,Queens,374,33,No,2020-01-06,13000000,16143,126.51,Interior,M1-2/R6A,,,,LIC,,3.0,48429,268,2020-01-06,1.75
Astoria,Queens,872,4,No,2020-01-03,2250000,4050,25.0,Interior,R6A ,R5D,C1-3,,,,,8981,251,2020-01-03,1.75
Fordham,The Bronx,3244,130,No,2020-01-02,12000000,43278,179.8,Interior,M3-1,,,,,,2.0,86556,139,2020-01-02,1.75
Highbridge,The Bronx,2508,1,No,2019-12-30,1400000,5000,150.0,Corner,R7-1,,,,,,3.44,17200,65,2019-12-30,1.75
Midwood,Brooklyn,7577,60,No,2019-12-30,16150000,17958,351.75,Corner,C4-4D,,,,,MIH,7.2,129298,125,2019-12-30,1.75
East Harlem,Manhattan,1659,105,No,2019-12-30,1125000,1817,18.0,Interior,R7A,R9,C2-5,,EHC,MIH,9.0,10720,131,2019-12-30,1.75
Astoria,Queens,532,"28, 29",Yes,2019-12-23,1475000,4500,50.0,Interior,R5B,,,,,,1.35,6075,243,2019-12-23,1.75
Foxhurst,The Bronx,2714,30,No,2019-12-20,4283744,25840,495.0,Corner ,R7-1,,C1-4,,,,4.0,103360,41,2019-12-20,1.75
Homecrest,Brooklyn,7324,34,No,2019-12-19,1150000,2955,23.5,Interior,R7A,,,,,,4.0,11820,97,2019-12-19,1.75
Times Square,Manhattan,1000,55,No,2019-12-18,140000000,15565,155.0,Interior,C6-5.5 ,C6-7T,,,MID,,,276000,507,2019-12-18,1.75
Borough Park,Brooklyn,5346,"15, 17",Yes,2019-12-17,7500000,30178,178.0,Interior,M1-2,,,,,,2.0,60356,124,2019-12-17,1.75
