NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA,Date,Rate
Cobble Hill,Brooklyn,408,8,No,2024-03-07,1950000,1718,24.08,Interior,R6A ,,C2-4,,,,3.0,5154,378,2024-03-07,5.25
Downtown Brooklyn,Brooklyn,121,"36, 37",Yes,2024-03-05,2500000,3970,45.0,Interior,R6B,,,,,,2.0,7940,315,2024-03-05,5.25
Rockaway Park,Queens,16188,28,No,2024-02-29,14400000,32000,320.0,Through,R7A,,,,,,4.0,128000,113,2024-02-29,5.25
Gowanus,Brooklyn,440,29,No,2024-02-28,4000000,3600,40.0,Interior,M1-4 ,R6A,,,G,MIH,3.6,12960,309,2024-02-28,5.25
Bergen Beach,Brooklyn,8446,"31, 54, 49",Yes,2024-02-27,5900000,109838,950.0,Corner,M1-1,,,,,,1.0,109838,151,2024-02-27,5.25
Borough Park,Brooklyn,5509,"64, 62",Yes,2024-02-27,16600000,7174,71.5,Interior,R7A,,C2-4,,,MIH,1.0,7174,822,2024-02-27,5.25
Gramercy,Manhattan,876,"29, 30, 31, 32",Yes,2024-02-27,72462854,6900,167.0,Corner,C1-9A,,,,,,10.0,80813,897,2024-02-27,5.25
Williamsburg,Brooklyn,3032,"18, 17",Yes,2024-02-26,4000000,5000,150.0,Corner,R6B,,,,,,2.0,10000,400,2024-02-26,5.25
Vinegar Hill,Brooklyn,55,"9, 10",Yes,2024-02-24,1529500,4444,50.0,Interior,R6A ,,C2-4,,,,3.0,13332,115,2024-02-24,5.25
Gowanus,Brooklyn,471,200,No,2024-02-22,2600000,165840,773.0,Corner,M1-4/R7-2 ,,,,G,MIH,4.4,736500,104,2024-02-22,5.25
Hunters Point,Queens,428,1,No,2024-02-22,3600000,33950,544.0,Corner,M1-5/R9 ,,,,LIC,,8.0,255000,225,2024-02-22,5.25
Hunters Point,Queens,15,44,No,2024-02-22,57500000,6000,160.0,Corner,M1-4,R6B,,,LIC,,2.0,12000,300,2024-02-22,5.25
Park Slope,Brooklyn,964,23,No,2024-02-22,76500000,3200,25.0,Interior,R6B,,,,,,2.0,6400,406,2024-02-22,5.25
Downtown Flushing,Queens,4973,6,No,2024-02-20,11400000,8388,225.0,Corner,C4-2,,,,,,3.4,28519,677,2024-02-20,5.25
